"country","awards","meanIMDb","percentAwards"
"Australia",8,"7.72",1.53%
"Belgium",2,"7.90",0.38%
"Brazil",1,"7.40",0.19%
"Canada",8,"7.46",1.53%
"China",2,"7.55",0.38%
"France",13,"7.72",2.48%
"Germany",16,"7.77",3.05%
"Greece",1,"7.70",0.19%
"India",5,"7.88",0.95%
"Ireland",1,"7.90",0.19%
"Italy",6,"7.60",1.15%
"Japan",3,"7.20",0.57%
"Kenya",1,"7.40",0.19%
"Malta",1,"8.50",0.19%
"Mexico",4,"7.90",0.76%
"Morocco",1,"8.50",0.19%
"New Zealand",3,"8.03",0.57%
"Poland",2,"8.50",0.38%
"Romania",1,"7.20",0.19%
"Spain",1,"7.10",0.19%
"Taiwan",1,"7.90",0.19%
"UK",60,"7.61",11.45%
"United Arab Emirates",2,"7.50",0.38%
"USA",381,"7.62",72.71%
