"movie","year_of_award","award","avg_vote","genre","duration","country","period"
"12 Years A Slave",2014,"Best Supporting Actress",8.1,"Biography, Drama, History",134,"USA, UK","1998 - 2014"
"A Beautiful Mind",2002,"Best Director",8.2,"Biography, Drama",135,"USA","1998 - 2014"
"A Beautiful Mind",2002,"Best Supporting Actress",8.2,"Biography, Drama",135,"USA","1998 - 2014"
"A Double Life",1948,"Best Actor",7,"Crime, Drama, Film-Noir",104,"USA","1947 - 1963"
"A Fish Called Wanda",1989,"Best Supporting Actor",7.5,"Comedy, Crime",108,"UK, USA","1981 - 1997"
"A Free Soul",1931,"Best Actor",6.7,"Crime, Drama, Romance",93,"USA","1930 - 1946"
"A Letter To Three Wives",1950,"Best Director",7.8,"Drama, Romance",103,"USA","1947 - 1963"
"A Man For All Seasons",1967,"Best Actor",7.7,"Biography, Drama, History",120,"UK","1964 - 1980"
"A Man For All Seasons",1967,"Best Director",7.7,"Biography, Drama, History",120,"UK","1964 - 1980"
"A Passage To India",1985,"Best Supporting Actress",7.3,"Adventure, Drama, History",164,"UK, USA","1981 - 1997"
"A Patch Of Blue",1966,"Best Supporting Actress",8,"Drama, Romance",105,"USA","1964 - 1980"
"A Place In The Sun",1952,"Best Director",7.8,"Drama, Romance",122,"USA","1947 - 1963"
"A Streetcar Named Desire",1952,"Best Actress",8,"Drama",122,"USA","1947 - 1963"
"A Streetcar Named Desire",1952,"Best Supporting Actress",8,"Drama",122,"USA","1947 - 1963"
"A Streetcar Named Desire",1952,"Best Supporting Actor",8,"Drama",122,"USA","1947 - 1963"
"A Thousand Clowns",1966,"Best Supporting Actor",7.4,"Comedy, Drama, Romance",118,"USA","1964 - 1980"
"A Touch Of Class",1974,"Best Actress",6.5,"Comedy, Romance",106,"UK","1964 - 1980"
"A Tree Grows In Brooklyn",1946,"Best Supporting Actor",8,"Drama, Romance",129,"USA","1930 - 1946"
"Affliction",1999,"Best Supporting Actor",7,"Drama, Mystery, Thriller",114,"USA, Canada, Japan","1998 - 2014"
"Airport",1971,"Best Supporting Actress",6.6,"Action, Drama, Thriller",137,"USA","1964 - 1980"
"Alice Doesn't Live Here Anymore",1975,"Best Actress",7.3,"Drama, Romance",112,"USA","1964 - 1980"
"All About Eve",1951,"Best Director",8.2,"Drama",138,"USA","1947 - 1963"
"All About Eve",1951,"Best Supporting Actor",8.2,"Drama",138,"USA","1947 - 1963"
"All Quiet On The Western Front",1931,"Best Director",8,"Drama, War",136,"USA","1930 - 1946"
"All The King's Men",1950,"Best Actor",7.5,"Drama, Film-Noir",110,"USA","1947 - 1963"
"All The King's Men",1950,"Best Supporting Actress",7.5,"Drama, Film-Noir",110,"USA","1947 - 1963"
"All The President's Men",1977,"Best Supporting Actor",8,"Biography, Drama, History",138,"USA","1964 - 1980"
"American Beauty",2000,"Best Actor",8.3,"Drama",122,"USA","1998 - 2014"
"American Beauty",2000,"Best Director",8.3,"Drama",122,"USA","1998 - 2014"
"An Officer And A Gentleman",1983,"Best Supporting Actor",7,"Drama, Romance",124,"USA","1981 - 1997"
"Anastasia",1957,"Best Actress",7,"Biography, Drama, History",105,"USA","1947 - 1963"
"Annie Hall",1978,"Best Director",8,"Comedy, Romance",93,"USA","1964 - 1980"
"Annie Hall",1978,"Best Actress",8,"Comedy, Romance",93,"USA","1964 - 1980"
"Anthony Adverse",1937,"Best Supporting Actress",6.3,"Adventure, Drama, Romance",141,"USA","1930 - 1946"
"Arthur",1982,"Best Supporting Actor",6.9,"Comedy, Romance",97,"USA","1981 - 1997"
"As Good As It Gets",1998,"Best Actor",7.7,"Comedy, Drama, Romance",139,"USA","1998 - 2014"
"As Good As It Gets",1998,"Best Actress",7.7,"Comedy, Drama, Romance",139,"USA","1998 - 2014"
"Bad Girl",1933,"Best Director",6.5,"Drama, Romance",90,"USA","1930 - 1946"
"Ben-Hur",1960,"Best Supporting Actor",8.1,"Adventure, Drama, History",212,"USA","1947 - 1963"
"Ben-Hur",1960,"Best Actor",8.1,"Adventure, Drama, History",212,"USA","1947 - 1963"
"Ben-Hur",1960,"Best Director",8.1,"Adventure, Drama, History",212,"USA","1947 - 1963"
"Black Swan",2011,"Best Actress",8,"Drama, Thriller",108,"USA","1998 - 2014"
"Blue Jasmine",2014,"Best Actress",7.3,"Drama",98,"USA","1998 - 2014"
"Blue Sky",1995,"Best Actress",6.4,"Drama, Romance",101,"USA","1981 - 1997"
"Bonnie And Clyde",1968,"Best Supporting Actress",7.8,"Action, Biography, Crime",111,"USA","1964 - 1980"
"Born On The Fourth Of July",1990,"Best Director",7.2,"Biography, Drama, War",145,"USA","1981 - 1997"
"Born Yesterday",1951,"Best Actress",7.6,"Comedy, Drama, Romance",103,"USA","1947 - 1963"
"Boys Don't Cry",2000,"Best Actress",7.5,"Biography, Crime, Drama",118,"USA","1998 - 2014"
"Boys Town",1939,"Best Actor",7.3,"Biography, Drama",96,"USA","1930 - 1946"
"Braveheart",1996,"Best Director",8.3,"Biography, Drama, History",178,"USA","1981 - 1997"
"Brokeback Mountain",2006,"Best Director",7.7,"Drama, Romance",134,"USA, Canada","1998 - 2014"
"Bullets Over Broadway",1995,"Best Supporting Actress",7.4,"Comedy, Crime",98,"USA","1981 - 1997"
"Butterfield 8",1961,"Best Actress",6.4,"Drama",109,"USA","1947 - 1963"
"Butterflies Are Free",1973,"Best Supporting Actress",7.2,"Comedy, Drama, Music",109,"USA","1964 - 1980"
"Cabaret",1973,"Best Director",7.8,"Drama, Musical",124,"USA","1964 - 1980"
"Cabaret",1973,"Best Actress",7.8,"Drama, Musical",124,"USA","1964 - 1980"
"Cabaret",1973,"Best Supporting Actor",7.8,"Drama, Musical",124,"USA","1964 - 1980"
"Cactus Flower",1970,"Best Supporting Actress",7.2,"Comedy, Romance",103,"USA","1964 - 1980"
"California Suite",1979,"Best Supporting Actress",6.2,"Comedy, Drama, Romance",103,"USA","1964 - 1980"
"Capote",2006,"Best Actor",7.3,"Biography, Crime, Drama",114,"USA, Canada","1998 - 2014"
"Captains Courageous",1938,"Best Actor",8,"Adventure, Drama, Family",117,"USA","1930 - 1946"
"Casablanca",1944,"Best Director",8.5,"Drama, Romance, War",102,"USA","1930 - 1946"
"Cat Ballou",1966,"Best Actor",6.8,"Comedy, Romance, Western",97,"USA","1964 - 1980"
"Cavalcade",1934,"Best Director",5.9,"Drama, Romance, War",112,"USA","1930 - 1946"
"Charly",1969,"Best Actor",7,"Drama, Romance, Sci-Fi",103,"USA","1964 - 1980"
"Chicago",2003,"Best Supporting Actress",7.1,"Comedy, Crime, Musical",113,"USA, Germany, Canada","1998 - 2014"
"Children Of A Lesser God",1987,"Best Actress",7.2,"Drama, Romance",119,"USA","1981 - 1997"
"City Slickers",1992,"Best Supporting Actor",6.7,"Comedy",113,"USA","1981 - 1997"
"Coal Miner's Daughter",1981,"Best Actress",7.5,"Biography, Drama, Music",124,"USA","1981 - 1997"
"Cocoon",1986,"Best Supporting Actor",6.7,"Comedy, Drama, Sci-Fi",117,"USA","1981 - 1997"
"Cold Mountain",2004,"Best Supporting Actress",7.2,"Adventure, Drama, History",154,"UK, Italy, Romania, USA","1998 - 2014"
"Come And Get It",1937,"Best Supporting Actor",7,"Drama, Romance",99,"USA","1930 - 1946"
"Come Back, Little Sheba",1953,"Best Actress",7.5,"Drama, Romance",99,"USA","1947 - 1963"
"Coming Home",1979,"Best Actor",7.3,"Drama, Romance, War",127,"USA","1964 - 1980"
"Coming Home",1979,"Best Actress",7.3,"Drama, Romance, War",127,"USA","1964 - 1980"
"Cool Hand Luke",1968,"Best Supporting Actor",8.1,"Crime, Drama",127,"USA","1964 - 1980"
"Crazy Heart",2010,"Best Actor",7.2,"Drama, Music, Romance",112,"USA","1998 - 2014"
"Cyrano De Bergerac",1951,"Best Actor",7.5,"Adventure, Drama, Romance",113,"USA","1947 - 1963"
"Dallas Buyers Club",2014,"Best Actor",8,"Biography, Drama",117,"USA","1998 - 2014"
"Dallas Buyers Club",2014,"Best Supporting Actor",8,"Biography, Drama",117,"USA","1998 - 2014"
"Dances With Wolves",1991,"Best Director",8,"Adventure, Drama, Western",181,"USA, UK","1981 - 1997"
"Dangerous",1936,"Best Actress",7,"Drama",79,"USA","1930 - 1946"
"Darling",1966,"Best Actress",7.1,"Drama, Romance",128,"UK","1964 - 1980"
"Dead Man Walking",1996,"Best Actress",7.5,"Crime, Drama",122,"UK, USA","1981 - 1997"
"Django Unchained",2013,"Best Supporting Actor",8.4,"Drama, Western",165,"USA","1998 - 2014"
"Dreamgirls",2007,"Best Supporting Actress",6.5,"Drama, Music, Musical",130,"USA","1998 - 2014"
"Driving Miss Daisy",1990,"Best Actress",7.4,"Drama",99,"USA","1981 - 1997"
"East Of Eden",1956,"Best Supporting Actress",7.9,"Drama",118,"USA","1947 - 1963"
"Ed Wood",1995,"Best Supporting Actor",7.8,"Biography, Comedy, Drama",127,"USA","1981 - 1997"
"Elmer Gantry",1961,"Best Actor",7.8,"Drama",146,"USA","1947 - 1963"
"Elmer Gantry",1961,"Best Supporting Actress",7.8,"Drama",146,"USA","1947 - 1963"
"Erin Brockovich",2001,"Best Actress",7.3,"Biography, Drama",131,"USA","1998 - 2014"
"Fargo",1997,"Best Actress",8.1,"Crime, Drama, Thriller",98,"USA, UK","1981 - 1997"
"For Whom The Bell Tolls",1944,"Best Supporting Actress",6.9,"Adventure, Drama, History",170,"USA","1930 - 1946"
"Forrest Gump",1995,"Best Actor",8.8,"Drama, Romance",142,"USA","1981 - 1997"
