"movie","year_of_award","avg_vote","genre","duration","country","period","count","sumMovies"
"12 Years A Slave",2014,8.1,"Biography",134,"USA, UK","1998 - 2014",3,147
"12 Years A Slave",2014,8.1,"Drama",134,"USA, UK","1998 - 2014",5,1755
"12 Years A Slave",2014,8.1,"History",134,"USA, UK","1998 - 2014",1,80
"A Beautiful Mind",2002,8.2,"Biography",135,"USA","1998 - 2014",3,147
"A Beautiful Mind",2002,8.2,"Drama",135,"USA","1998 - 2014",5,1755
"A Double Life",1948,7,"Crime",104,"USA","1947 - 1963",1,126
"A Double Life",1948,7,"Drama",104,"USA","1947 - 1963",5,1755
"A Double Life",1948,7,"Film-Noir",104,"USA","1947 - 1963",1,16
"A Fish Called Wanda",1989,7.5,"Comedy",108,"UK, USA","1981 - 1997",1,161
"A Fish Called Wanda",1989,7.5,"Crime",108,"UK, USA","1981 - 1997",2,126
"A Free Soul",1931,6.7,"Crime",93,"USA","1930 - 1946",1,126
"A Free Soul",1931,6.7,"Drama",93,"USA","1930 - 1946",3,1755
"A Free Soul",1931,6.7,"Romance",93,"USA","1930 - 1946",1,336
"A Letter To Three Wives",1950,7.8,"Drama",103,"USA","1947 - 1963",5,1755
"A Letter To Three Wives",1950,7.8,"Romance",103,"USA","1947 - 1963",2,336
"A Man For All Seasons",1967,7.7,"Biography",120,"UK","1964 - 1980",2,147
"A Man For All Seasons",1967,7.7,"Drama",120,"UK","1964 - 1980",4,1755
"A Man For All Seasons",1967,7.7,"History",120,"UK","1964 - 1980",2,80
"A Passage To India",1985,7.3,"Adventure",164,"UK, USA","1981 - 1997",1,38
"A Passage To India",1985,7.3,"Drama",164,"UK, USA","1981 - 1997",5,1755
"A Passage To India",1985,7.3,"History",164,"UK, USA","1981 - 1997",4,80
"A Patch Of Blue",1966,8,"Drama",105,"USA","1964 - 1980",4,1755
"A Patch Of Blue",1966,8,"Romance",105,"USA","1964 - 1980",4,336
"A Place In The Sun",1952,7.8,"Drama",122,"USA","1947 - 1963",5,1755
"A Place In The Sun",1952,7.8,"Romance",122,"USA","1947 - 1963",2,336
"A Streetcar Named Desire",1952,8,"Drama",122,"USA","1947 - 1963",5,1755
